signal_id,signal_time,label,signal_type,channel
SIG-01179,2024-09-24 20:38:55,1,counterparty_risk,branch
SIG-00866,2024-09-14 06:47:19,0,structuring,branch
SIG-00102,2024-06-20 17:13:40,0,unusual_hours,web
SIG-00440,2024-09-11 14:33:02,0,counterparty_risk,atm
SIG-00059,2024-02-01 02:41:34,1,counterparty_risk,web
SIG-01121,2024-08-26 03:35:21,0,counterparty_risk,branch
SIG-00324,2024-10-01 19:30:44,1,device_change,api
SIG-00975,2024-11-26 16:10:18,1,structuring,web
SIG-00412,2024-08-31 13:35:32,0,structuring,branch
SIG-00856,2024-10-09 15:53:06,1,structuring,atm
SIG-00821,2024-09-21 22:33:44,0,velocity,api
SIG-00045,2024-03-14 22:44:56,0,velocity,mobile
SIG-00050,2024-01-30 06:38:17,0,device_change,atm
SIG-00850,2024-06-15 18:23:19,1,device_change,api
SIG-00241,2024-12-06 09:12:17,1,amount_spike,atm
SIG-00171,2024-08-23 11:17:24,1,structuring,atm
SIG-00524,2024-12-21 03:12:38,0,geo_anomaly,atm
SIG-00766,2024-03-05 14:23:11,0,device_change,api
SIG-00839,2024-12-04 10:20:13,1,amount_spike,api
SIG-00424,2024-01-20 15:04:14,1,amount_spike,api
SIG-00381,2024-11-03 09:06:28,0,velocity,mobile
SIG-00610,2024-05-22 01:26:17,0,amount_spike,web
SIG-00677,2024-06-05 05:29:50,0,velocity,atm
SIG-00345,2024-04-07 02:11:55,1,velocity,api
SIG-00110,2024-12-09 21:08:02,0,velocity,api
SIG-00278,2024-02-05 10:16:35,0,counterparty_risk,mobile
SIG-00678,2024-02-02 11:10:52,0,amount_spike,mobile
SIG-00571,2024-10-29 14:22:56,1,velocity,atm
SIG-00359,2024-08-11 07:49:50,0,geo_anomaly,web
SIG-00599,2024-02-03 08:13:29,1,velocity,web
SIG-00391,2024-01-29 18:12:54,0,device_change,web
SIG-00894,2024-01-30 01:47:40,0,counterparty_risk,api
SIG-00693,2024-05-28 17:37:38,1,geo_anomaly,web
SIG-00728,2024-11-10 03:22:30,1,amount_spike,mobile
SIG-00363,2024-07-01 13:58:35,0,velocity,api
SIG-00597,2024-06-28 20:03:42,1,counterparty_risk,atm
SIG-00428,2024-05-20 18:57:59,1,structuring,branch
SIG-00071,2024-02-14 19:52:23,1,velocity,atm
SIG-00322,2024-01-25 00:42:16,0,device_change,mobile
SIG-00653,2024-12-17 00:01:44,1,unusual_hours,web
SIG-01066,2024-10-17 19:12:40,1,counterparty_risk,branch
SIG-00108,2024-03-16 12:16:03,0,unusual_hours,api
SIG-01109,2024-07-03 22:05:01,0,device_change,atm
SIG-00356,2024-04-21 21:18:04,1,geo_anomaly,branch
SIG-00951,2024-08-26 08:06:31,0,structuring,web
SIG-00343,2024-06-20 02:39:55,0,device_change,branch
SIG-00355,2024-02-28 01:37:25,1,structuring,atm
SIG-00024,2024-02-12 14:00:14,0,geo_anomaly,web
SIG-00044,2024-08-11 18:40:54,0,device_change,web
SIG-00244,2024-10-19 21:12:04,1,geo_anomaly,api
SIG-00738,2024-01-11 02:55:28,0,amount_spike,atm
SIG-01136,2024-10-09 19:39:41,0,velocity,atm
SIG-00368,2024-03-11 18:57:14,0,counterparty_risk,web
SIG-00164,2024-10-01 23:12:38,0,structuring,web
