txn_id,signal_id,txn_time,amount,direction,txn_type,country,currency
TXN-00003747,SIG-00416,2024-09-22 00:16:02.826504,7230.6,in,payment,US,USD
TXN-00001711,SIG-00186,2024-11-15 06:39:46.712791,9567.02,out,withdrawal,US,USD
TXN-00006070,SIG-00681,2024-11-22 00:36:18.614719,418.9,in,deposit,US,USD
TXN-00003839,SIG-00427,2024-05-04 16:04:02.668828,409.23,in,card_purchase,US,USD
TXN-00006459,SIG-00725,2024-08-27 10:25:00.050818,2124.76,in,payment,US,USD
TXN-00007738,SIG-00861,2024-05-07 12:41:17.953355,244.59,in,refund,KY,GBP
TXN-00002895,SIG-00321,2024-09-03 23:14:14.427754,2895.33,out,transfer,US,USD
TXN-00010382,SIG-01147,2024-11-29 21:25:24.309143,607.41,in,fx_exchange,US,USD
TXN-00007259,SIG-00813,2024-12-18 14:19:54.643789,736.9,out,card_purchase,US,USD
TXN-00004395,SIG-00486,2024-05-12 17:55:43.708271,781.77,in,deposit,US,USD
TXN-00002997,SIG-00333,2024-07-15 18:51:04.958335,6998.16,in,fx_exchange,US,USD
TXN-00006900,SIG-00771,2024-10-10 05:13:35.108509,1145.75,in,bill_pay,US,USD
TXN-00000593,SIG-00060,2024-11-15 08:11:14.383951,5674.7,in,deposit,US,USD
TXN-00010700,SIG-01182,2024-03-21 05:55:29.891468,579.05,out,wire,US,USD
TXN-00003774,SIG-00418,2024-02-08 11:43:18.484070,8199.08,out,transfer,US,USD
TXN-00003525,SIG-00393,2024-07-29 05:26:12.726047,543.07,in,atm_withdrawal,BR,USD
TXN-00000609,SIG-00062,2024-09-03 18:54:18.299722,7634.11,in,bill_pay,US,USD
TXN-00000034,SIG-00004,2024-03-01 07:00:14.656959,548.69,in,payment,US,USD
TXN-00004398,SIG-00487,2024-11-18 16:59:19.491629,1094.76,out,card_purchase,US,USD
TXN-00007932,SIG-00880,2024-05-02 15:26:47.931060,10146.31,in,transfer,US,USD
TXN-00004808,SIG-00537,2024-01-20 18:34:06.939774,2714.39,in,deposit,KY,EUR
TXN-00010852,SIG-01197,2024-07-17 16:48:48.747577,12242.16,in,transfer,US,USD
TXN-00005083,SIG-00567,2024-10-22 15:27:09.363695,500.4,out,payment,US,USD
TXN-00001951,SIG-00207,2024-10-02 03:35:29.671439,3693.83,out,bill_pay,US,USD
TXN-00004061,SIG-00453,2024-10-30 06:44:09.915224,1125.17,out,withdrawal,US,USD
TXN-00005480,SIG-00611,2024-10-14 02:39:11.212659,245.59,in,refund,US,USD
TXN-00010859,SIG-01197,2024-08-09 07:58:51.447067,15191.28,out,withdrawal,US,USD
TXN-00003861,SIG-00428,2024-05-19 13:20:44.094549,1445.37,in,payment,US,USD
TXN-00005441,SIG-00607,2024-03-17 11:37:03.726682,3146.9,in,withdrawal,CN,GBP
TXN-00000695,SIG-00073,2024-04-03 05:23:15.336990,6675.45,in,fx_exchange,US,USD
TXN-00006500,SIG-00729,2024-03-01 03:33:25.524905,3933.44,out,transfer,TR,CHF
TXN-00007494,SIG-00837,2024-09-08 14:39:49.099173,304.02,in,payment,KY,JPY
TXN-00001719,SIG-00187,2024-09-21 05:12:14.167852,863.73,in,bill_pay,US,USD
TXN-00006464,SIG-00725,2024-08-31 08:31:29.634639,1347.72,in,transfer,US,USD
TXN-00002649,SIG-00291,2024-05-07 11:24:41.159068,3028.9,in,transfer,US,USD
TXN-00000867,SIG-00090,2024-04-25 20:09:28.548085,281.86,in,refund,US,USD
TXN-00003782,SIG-00419,2024-03-26 11:53:41.956647,1306.83,in,atm_withdrawal,PA,CHF
TXN-00008248,SIG-00911,2024-12-16 08:03:28.487293,17504.24,out,bill_pay,US,USD
TXN-00006962,SIG-00777,2024-07-06 02:05:11.679774,488.22,out,fx_exchange,US,USD
TXN-00002869,SIG-00319,2024-11-17 07:05:10.978454,4626.97,in,deposit,IN,USD
TXN-00006623,SIG-00741,2024-01-28 23:53:05.649887,751.09,out,bill_pay,US,USD
